Gene,logFC,p
Lrrcc1,0.524169295,0.019644391
Shc1,-0.89246897,0.019644719
Slc9a8,-0.364310492,0.019658983
Rnf130,-0.660247592,0.019721019
Mtss1,-1.544048753,0.019752953
Nf2,-1.943728362,0.019784368
Aopep,-0.320069729,0.019834305
Pgls,-0.865189774,0.019838337
Fgf7,-0.860990428,0.019843191
Thrap3,-0.768198977,0.01987236
Gm43127,0.858885851,0.019908367
Armc2,-0.49993908,0.019946344
Speg,2.148292285,0.019987145
Fam111a,-0.434734329,0.019996416
Dbt,-0.661036534,0.020026744
Atp5d,0.841334207,0.020028343
Gata2,-0.859067899,0.020044436
Fas,0.367992248,0.020055146
Setd6,-0.681923963,0.020092509
Cspp1,-2.005892152,0.020180656
Ercc8,0.874469118,0.020212237
Golga3,-0.611584898,0.02021767
Wdr26,0.857817154,0.020279981
Gpt2,1.342875095,0.020318993
1190007I07Rik,1.339967763,0.02034182
4933434E20Rik,0.407243173,0.020363072
Hnrnpa2b1,1.568009319,0.02036571
Rexo4,-0.996171597,0.020382532
Plekho1,-0.190969197,0.020398272
Zfp35,1.335875809,0.020417011
Ubl3,-0.81915135,0.020509858
Prkg1,1.156214281,0.020584256
Flt3l,-0.913740022,0.020621733
Stx2,-0.642837967,0.020636453
Zfp597,-0.719140171,0.020671111
Zfp592,1.02598193,0.020701459
Smarcc2,0.718795131,0.020712288
Rab3ip,1.64422772,0.020720662
Mthfd2l,-1.662525681,0.020751337
Ndfip2,0.477792439,0.020814176
Pdcd11,-0.380669086,0.020824169
Hmcn1,0.586848776,0.020871342
Rbl2,-0.767419391,0.02087533
Plec,0.817786958,0.020968645
Gm44321,1.292989993,0.021011692
Mapk8ip3,-0.611434712,0.021027798
Clec4n,1.660360656,0.021066401
Gxylt1,-0.616613654,0.02116334
Cd34,0.603174625,0.021166252
Snta1,1.477662337,0.021180933
Rsph3a,2.01258173,0.021189389
Emg1,-1.286427096,0.021255879
Nrg4,-1.175860751,0.021258408
Pik3cg,-0.180238342,0.021287362
Akirin2,0.557290519,0.021297399
Art1,0.893011829,0.021303437
Stx17,0.150858038,0.021343314
Ndufv2,1.199225553,0.02139357
Cfl1,0.487350232,0.021412981
0610010K14Rik,-1.158535188,0.021414691
Zfp866,-2.340585253,0.021425005
Rpl7,1.005399152,0.021457028
Rif1,-0.668555865,0.021509775
Tpm3,-0.880834747,0.021592858
Arih2,1.262508058,0.021681967
Gprasp1,-0.725673558,0.021719307
Creld1,1.184045451,0.0217826
Ift81,0.598151029,0.02193524
Pfn4,0.820053773,0.021966063
Tubgcp4,0.624249227,0.022020315
Dcun1d1,0.491928566,0.022029693
Eef2kmt,-0.972663812,0.022060739
Lta4h,-0.202185446,0.022068874
Trp53bp2,0.710493383,0.022118467
Aars,0.796154765,0.022135962
Zscan18,-0.222222643,0.022162736
Chaf1a,0.571811219,0.022170909
Gm45380,-1.514270096,0.02220729
Hdac6,0.454052723,0.022239185
Snx29,-1.215706375,0.022294334
Art5,-0.4058775,0.022309336
Arsg,1.523441149,0.022320078
Ap3m2,-0.662394875,0.022321731
Plekhm2,0.656018743,0.022441952
Pfkp,0.510508006,0.022442352
Ube2h,-1.596620905,0.022444137
Mks1,-1.278572493,0.022472572
Tbc1d15,1.555104378,0.022486141
Gnb4,1.133678786,0.022556479
